NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Hope, AR Micro Area",694,270,272,479,429,3610,693,3648,15139,269395,11884,6775,29718,13064,23507,26260,,msa,26260,,2019
"Hot Springs, AR Metro Area",771,1365,744,594,2962,12939,1554,10660,50869,852730,38833,18032,96855,43613,81156,26300,,msa,26300,,2019
"Houghton, MI Micro Area",635,265,196,352,1343,4562,487,6814,21281,240225,14627,6965,35554,17042,31526,26340,,msa,26340,,2019
"Houma-Thibodaux, LA Metro Area",826,1386,859,1764,4473,20062,3018,9674,86541,2295050,85251,37619,205919,96174,164017,26380,,msa,26380,,2019
"Houston-The Woodlands-Sugar Land, TX Metro Area",1101,78592,59615,82826,207630,930510,55765,244459,2596734,93470590,3096366,929512,6797640,3498642,5246127,26420,,msa,26420,,2019
"Hudson, NY Micro Area",928,452,292,429,1457,6563,676,8520,33486,705595,26850,6777,58561,31242,51132,26460,,msa,26460,,2019
"Huntingdon, PA Micro Area",642,243,167,175,598,4084,767,5917,22696,545635,17571,4917,39825,19727,38181,26500,,msa,26500,,2019
"Huntington, IN Micro Area",703,348,142,361,550,3617,323,1307,16049,378335,17614,3809,34942,19129,29405,26540,,msa,26540,,2019
"Huntington-Ashland, WV-KY-OH Metro Area",728,2949,1964,2866,9174,40317,7169,27068,167962,3231680,136161,66870,352890,151699,293889,26580,,msa,26580,,2019
"Huntsville, AL Metro Area",836,4574,3687,4074,10661,56335,4928,17301,197633,4674305,207724,56474,444510,230865,367971,26620,,msa,26620,,2019
"Huntsville, TX Micro Area",908,509,457,829,3367,10673,1669,4201,26164,680765,24745,12325,55013,27203,62588,26660,,msa,26660,,2019
"Huron, SD Micro Area",613,131,167,120,295,2841,296,1114,9592,136605,9397,3067,19985,10145,15524,26700,,msa,26700,,2019
"Hutchinson, KS Micro Area",696,680,371,635,1543,7683,606,3481,28495,503475,27969,7701,59870,30759,50085,26740,,msa,26740,,2019
"Hutchinson, MN Micro Area",781,222,214,188,573,3288,213,1176,15890,431440,18071,3018,35455,19630,28517,26780,,msa,26780,,2019
"Idaho Falls, ID Metro Area",813,1059,803,1237,2678,13949,849,4056,53582,1227090,60767,14267,144144,67601,104966,26820,,msa,26820,,2019
"Indiana, PA Micro Area",709,626,519,900,2345,9586,1069,5724,38970,844955,35211,12898,79196,40079,71448,26860,,msa,26860,,2019
"Indianapolis-Carmel-Anderson, IN Metro Area",916,23473,15847,24267,57466,270422,17828,83714,860321,23902485,950408,246104,1985723,1065342,1581911,26900,,msa,26900,,2019
"Indianola, MS Micro Area",642,290,294,301,828,3864,655,1346,9668,148625,7906,6937,21868,9521,20884,26940,,msa,26940,,2019
"Iowa City, IA Metro Area",949,1812,1354,1852,8664,27110,2073,5399,73365,1732440,89130,27609,162446,98871,139092,26980,,msa,26980,,2019
"Iron Mountain, MI-WI Micro Area",657,237,96,211,594,2811,279,5716,18895,221830,12403,3371,29223,13835,24799,27020,,msa,27020,,2019
"Ithaca, NY Metro Area",1164,1417,1017,1297,6088,17863,1659,3853,43471,884760,45537,16838,89120,52901,89222,27060,,msa,27060,,2019
"Jackson, MI Metro Area",782,1354,901,1698,3296,16396,1283,7775,69580,1510375,65601,20509,148808,73068,128515,27100,,msa,27100,,2019
"Jackson, MS Metro Area",875,5906,4317,5645,14739,71167,8750,33369,251154,6306875,256585,97497,574581,289199,470401,27140,,msa,27140,,2019
"Jackson, OH Micro Area",704,334,137,182,661,3933,640,2072,14852,338950,12873,5983,31882,14714,25476,27160,,msa,27160,,2019
"Jackson, TN Metro Area",793,2205,1009,1920,5141,23375,3172,10440,79255,1594060,73922,30060,172028,81424,142110,27180,,msa,27180,,2019
"Jackson, WY-ID Micro Area",1292,511,160,299,506,4396,316,6955,19681,354435,18114,1938,34587,20868,28062,27220,,msa,27220,,2019
"Jacksonville, FL Metro Area",1093,18672,13742,17936,42200,200260,13735,80951,644897,18164470,672532,185254,1473622,768739,1202645,27260,,msa,27260,,2019
"Jacksonville, IL Micro Area",709,375,388,252,875,4708,532,2255,17913,359940,16873,5025,35871,18962,32632,27300,,msa,27300,,2019
"Jacksonville, NC Metro Area",997,3453,1993,2856,4966,30226,2108,14895,79281,1952035,94785,23065,174605,106967,151325,27340,,msa,27340,,2019
"Jacksonville, TX Micro Area",728,297,335,179,847,5104,961,3149,21287,484665,19285,8013,48713,21592,40263,27380,,msa,27380,,2019
